performance	metric	DataSet	method	perturb	DEG	Ncontrol	Nimputed	Nstimulated	seed
0.0146	mse	Adamson	scGPT	ARHGAP22	100	7629	513	513	1
0.001	mse	Adamson	scGPT	ARHGAP22	5000	7629	513	513	1
0.0307	mse	Adamson	scGPT	CCND3	100	7629	412	412	1
0.0018	mse	Adamson	scGPT	CCND3	5000	7629	412	412	1
0.0534	mse	Adamson	scGPT	CHERP	100	7629	497	497	1
0.0028	mse	Adamson	scGPT	CHERP	5000	7629	497	497	1
0.0046	mse	Adamson	scGPT	DAD1	100	7629	774	774	1
0.0005	mse	Adamson	scGPT	DAD1	5000	7629	774	774	1
0.0092	mse	Adamson	scGPT	DERL2	100	7629	676	676	1
0.0008	mse	Adamson	scGPT	DERL2	5000	7629	676	676	1
0.137	mse	Adamson	scGPT	EIF2B2	100	7629	638	638	1
0.0047	mse	Adamson	scGPT	EIF2B2	5000	7629	638	638	1
0.0812	mse	Adamson	scGPT	EIF2B4	100	7629	654	654	1
0.0029	mse	Adamson	scGPT	EIF2B4	5000	7629	654	654	1
0.0	mse	Adamson	scGPT	ERN1	100	7629	88	88	1
0.002	mse	Adamson	scGPT	ERN1	5000	7629	88	88	1
0.0046	mse	Adamson	scGPT	GNPNAT1	100	7629	514	514	1
0.0009	mse	Adamson	scGPT	GNPNAT1	5000	7629	514	514	1
0.1113	mse	Adamson	scGPT	NEDD8	100	7629	518	518	1
0.0052	mse	Adamson	scGPT	NEDD8	5000	7629	518	518	1
0.0243	mse	Adamson	scGPT	SEC61G	100	7629	674	674	1
0.0013	mse	Adamson	scGPT	SEC61G	5000	7629	674	674	1
0.0072	mse	Adamson	scGPT	SYVN1	100	7629	676	676	1
0.0006	mse	Adamson	scGPT	SYVN1	5000	7629	676	676	1
0.023	mse	Adamson	scGPT	TIMM23	100	7629	789	789	1
0.001	mse	Adamson	scGPT	TIMM23	5000	7629	789	789	1
0.0041	mse	Adamson	scGPT	TTI2	100	7629	682	682	1
0.0006	mse	Adamson	scGPT	TTI2	5000	7629	682	682	1
0.0034	mse	Adamson	scGPT	UFM1	100	7629	723	723	1
0.0006	mse	Adamson	scGPT	UFM1	5000	7629	723	723	1
0.0153	mse	Adamson	scGPT	YIPF5	100	7629	1457	1457	1
0.0008	mse	Adamson	scGPT	YIPF5	5000	7629	1457	1457	1
0.2661	pearson_distance	Adamson	scGPT	ARHGAP22	100	7629	513	513	1
0.5452	pearson_distance	Adamson	scGPT	ARHGAP22	5000	7629	513	513	1
0.6736	pearson_distance	Adamson	scGPT	CCND3	100	7629	412	412	1
0.8199	pearson_distance	Adamson	scGPT	CCND3	5000	7629	412	412	1
0.5148	pearson_distance	Adamson	scGPT	CHERP	100	7629	497	497	1
0.6751	pearson_distance	Adamson	scGPT	CHERP	5000	7629	497	497	1
0.0659	pearson_distance	Adamson	scGPT	DAD1	100	7629	774	774	1
0.311	pearson_distance	Adamson	scGPT	DAD1	5000	7629	774	774	1
0.2166	pearson_distance	Adamson	scGPT	DERL2	100	7629	676	676	1
0.5877	pearson_distance	Adamson	scGPT	DERL2	5000	7629	676	676	1
0.3332	pearson_distance	Adamson	scGPT	EIF2B2	100	7629	638	638	1
0.3925	pearson_distance	Adamson	scGPT	EIF2B2	5000	7629	638	638	1
0.2265	pearson_distance	Adamson	scGPT	EIF2B4	100	7629	654	654	1
0.369	pearson_distance	Adamson	scGPT	EIF2B4	5000	7629	654	654	1
0.9222	pearson_distance	Adamson	scGPT	ERN1	100	7629	88	88	1
1.1283	pearson_distance	Adamson	scGPT	ERN1	5000	7629	88	88	1
1.039	pearson_distance	Adamson	scGPT	GNPNAT1	100	7629	514	514	1
1.1205	pearson_distance	Adamson	scGPT	GNPNAT1	5000	7629	514	514	1
0.2664	pearson_distance	Adamson	scGPT	NEDD8	100	7629	518	518	1
0.7113	pearson_distance	Adamson	scGPT	NEDD8	5000	7629	518	518	1
0.24	pearson_distance	Adamson	scGPT	SEC61G	100	7629	674	674	1
0.4181	pearson_distance	Adamson	scGPT	SEC61G	5000	7629	674	674	1
0.3065	pearson_distance	Adamson	scGPT	SYVN1	100	7629	676	676	1
0.7237	pearson_distance	Adamson	scGPT	SYVN1	5000	7629	676	676	1
0.3856	pearson_distance	Adamson	scGPT	TIMM23	100	7629	789	789	1
0.472	pearson_distance	Adamson	scGPT	TIMM23	5000	7629	789	789	1
0.9678	pearson_distance	Adamson	scGPT	TTI2	100	7629	682	682	1
0.8316	pearson_distance	Adamson	scGPT	TTI2	5000	7629	682	682	1
0.2226	pearson_distance	Adamson	scGPT	UFM1	100	7629	723	723	1
0.4526	pearson_distance	Adamson	scGPT	UFM1	5000	7629	723	723	1
0.176	pearson_distance	Adamson	scGPT	YIPF5	100	7629	1457	1457	1
0.3714	pearson_distance	Adamson	scGPT	YIPF5	5000	7629	1457	1457	1
2.4903	edistance	Adamson	scGPT	ARHGAP22	100	7629	513	513	1
10.8347	edistance	Adamson	scGPT	ARHGAP22	5000	7629	513	513	1
2.0735	edistance	Adamson	scGPT	CCND3	100	7629	412	412	1
6.5966	edistance	Adamson	scGPT	CCND3	5000	7629	412	412	1
3.3463	edistance	Adamson	scGPT	CHERP	100	7629	497	497	1
10.6217	edistance	Adamson	scGPT	CHERP	5000	7629	497	497	1
2.0998	edistance	Adamson	scGPT	DAD1	100	7629	774	774	1
10.6193	edistance	Adamson	scGPT	DAD1	5000	7629	774	774	1
2.8466	edistance	Adamson	scGPT	DERL2	100	7629	676	676	1
11.3645	edistance	Adamson	scGPT	DERL2	5000	7629	676	676	1
5.0407	edistance	Adamson	scGPT	EIF2B2	100	7629	638	638	1
12.634	edistance	Adamson	scGPT	EIF2B2	5000	7629	638	638	1
4.1678	edistance	Adamson	scGPT	EIF2B4	100	7629	654	654	1
12.12	edistance	Adamson	scGPT	EIF2B4	5000	7629	654	654	1
0.0967	edistance	Adamson	scGPT	ERN1	100	7629	88	88	1
11.6522	edistance	Adamson	scGPT	ERN1	5000	7629	88	88	1
0.9683	edistance	Adamson	scGPT	GNPNAT1	100	7629	514	514	1
10.6614	edistance	Adamson	scGPT	GNPNAT1	5000	7629	514	514	1
4.3313	edistance	Adamson	scGPT	NEDD8	100	7629	518	518	1
11.3582	edistance	Adamson	scGPT	NEDD8	5000	7629	518	518	1
3.1242	edistance	Adamson	scGPT	SEC61G	100	7629	674	674	1
11.3884	edistance	Adamson	scGPT	SEC61G	5000	7629	674	674	1
